Common.Name,Scientific.Name,Action,Assigned.Name.for.Atlas
Asian Koel,Eudynamys scolopaceus,,Asian Koel
Black-rumped Flameback,Dinopium benghalense,,Black-rumped Flameback
Black Drongo,Dicrurus macrocercus,,Black Drongo
Brahminy Kite,Haliastur indus,,Brahminy Kite
Common Myna,Acridotheres tristis,,Common Myna
Common Tailorbird,Orthotomus sutorius,,Common Tailorbird
House Crow,Corvus splendens,,House Crow
Indian Pond-Heron,Ardeola grayii,,Indian Pond-Heron
Large-billed Crow,Corvus macrorhynchos,,Large-billed Crow
Little Cormorant,Microcarbo niger,,Little Cormorant
Rock Pigeon,Columba livia,Reassign,Rock Pigeon (Feral)
Rufous Treepie,Dendrocitta vagabunda,,Rufous Treepie
White-cheeked Barbet,Psilopogon viridis,,White-cheeked Barbet
White-throated Kingfisher,Halcyon smyrnensis,,White-throated Kingfisher
Cattle Egret,Bubulcus ibis,,Cattle Egret
Lesser Whistling-Duck,Dendrocygna javanica,,Lesser Whistling-Duck
Oriental Magpie-Robin,Copsychus saularis,,Oriental Magpie-Robin
Purple-rumped Sunbird,Leptocoma zeylonica,,Purple-rumped Sunbird
Ashy Woodswallow,Artamus fuscus,,Ashy Woodswallow
Baya Weaver,Ploceus philippinus,,Baya Weaver
Black-winged Stilt,Himantopus himantopus,,Black-winged Stilt
Black-headed Ibis,Threskiornis melanocephalus,,Black-headed Ibis
Common Redshank,Tringa totanus,,Common Redshank
Curlew Sandpiper,Calidris ferruginea,,Curlew Sandpiper
Oriental Darter,Anhinga melanogaster,,Oriental Darter
Glossy Ibis,Plegadis falcinellus,,Glossy Ibis
Gray Heron,Ardea cinerea,,Grey Heron
Great Crested Tern,Thalasseus bergii,,Great Crested Tern
Gull-billed Tern,Gelochelidon nilotica,,Gull-billed Tern
Indian Cormorant,Phalacrocorax fuscicollis,,Indian Cormorant
Lesser Crested Tern,Thalasseus bengalensis,,Lesser Crested Tern
Little Egret,Egretta garzetta,,Little Egret
Little Grebe,Tachybaptus ruficollis,,Little Grebe
Little Stint,Calidris minuta,,Little Stint
Malabar Starling,Sturnia blythii,,Malabar Starling
Painted Stork,Mycteria leucocephala,,Painted Stork
Purple Heron,Ardea purpurea,,Purple Heron
Gray-headed Swamphen,Porphyrio poliocephalus,,Grey-headed Swamphen
Red-wattled Lapwing,Vanellus indicus,,Red-wattled Lapwing
Spot-billed Pelican,Pelecanus philippensis,,Spot-billed Pelican
Whiskered Tern,Chlidonias hybrida,,Whiskered Tern
Wood Sandpiper,Tringa glareola,,Wood Sandpiper
Blue-cheeked Bee-eater,Merops persicus,,Blue-cheeked Bee-eater
Intermediate Egret,Ardea intermedia,,Intermediate Egret
Common Kingfisher,Alcedo atthis,,Common Kingfisher
Loten's Sunbird,Cinnyris lotenius,,Loten's Sunbird
Red-vented Bulbul,Pycnonotus cafer,,Red-vented Bulbul
Rose-ringed Parakeet,Psittacula krameri,,Rose-ringed Parakeet
Stork-billed Kingfisher,Pelargopsis capensis,,Stork-billed Kingfisher
Striated Heron,Butorides striata,,Striated Heron
Cotton Pygmy-Goose,Nettapus coromandelianus,,Cotton Pygmy-Goose
Great Egret,Ardea alba,,Great Egret
Greater Painted-Snipe,Rostratula benghalensis,,Greater Painted-Snipe
Plain Prinia,Prinia inornata,,Plain Prinia
Zitting Cisticola,Cisticola juncidis,,Zitting Cisticola
White-breasted Waterhen,Amaurornis phoenicurus,,White-breasted Waterhen
