Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Zitting Cisticola,Cisticola juncidis,Resident,Least Concern,Very Large,Low,Passeriformes,Cisticolidae,Not endemic
Ashy Prinia,Prinia socialis,Resident,Least Concern,Very Large,Low,Passeriformes,Cisticolidae,Not endemic
Yellow-throated Bulbul,Pycnonotus xantholaemus,Resident,Vulnerable,Moderate,Moderate,Passeriformes,Pycnonotidae,Not endemic
Yellow-footed Green-Pigeon,Treron phoenicopterus,Resident,Least Concern,Very Large,Low,Columbiformes,Columbidae,Not endemic
Yellow-eyed Babbler,Chrysomma sinense,Resident,Least Concern,Very Large,Low,Passeriformes,Sylviidae,Not endemic
Yellow-crowned Woodpecker,Leiopicus mahrattensis,Resident,Least Concern,Large,High,Piciformes,Picidae,Not endemic
Ashy-crowned Sparrow-Lark,Eremopterix griseus,Resident,Least Concern,Very Large,Moderate,Passeriformes,Alaudidae,Not endemic
Yellow Bittern,Ixobrychus sinensis,Resident,Least Concern,Moderate,Low,Pelecaniformes,Ardeidae,Not endemic
Woolly-necked Stork,Ciconia episcopus,Resident,Vulnerable,Very Large,Low,Ciconiiformes,Ciconiidae,Not endemic
Wood Sandpiper,Tringa glareola,WinterMigrant,Least Concern,Very Large,Low,Charadriiformes,Scolopacidae,Not endemic
Wire-tailed Swallow,Hirundo smithii,Resident,Least Concern,Very Large,Low,Passeriformes,Hirundinidae,Not endemic
White-throated Kingfisher,Halcyon smyrnensis,Resident,Least Concern,Very Large,Low,Coraciiformes,Alcedinidae,Not endemic
White-rumped Vulture,Gyps bengalensis,Resident,Critically Endangered,Moderate,High,Accipitriformes,Accipitridae,Not endemic
Black-headed Cuckooshrike,Lalage melanoptera,Resident,Least Concern,Moderate,Moderate,Passeriformes,Campephagidae,Not endemic
White-rumped Munia,Lonchura striata,Resident,Least Concern,Large,Moderate,Passeriformes,Estrildidae,Not endemic
White-eyed Buzzard,Butastur teesa,Resident,Least Concern,Moderate,Moderate,Accipitriformes,Accipitridae,Not endemic
White-cheeked Barbet,Psilopogon viridis,Resident,Least Concern,Large,Low,Piciformes,Megalaimidae,Not endemic
White-browed Wagtail,Motacilla maderaspatensis,Resident,Least Concern,Very Large,Moderate,Passeriformes,Motacillidae,Not endemic
White-browed Fantail,Rhipidura aureola,Resident,Least Concern,Large,Low,Passeriformes,Rhipiduridae,Not endemic
Black-rumped Flameback,Dinopium benghalense,Resident,Least Concern,Very Large,Low,Piciformes,Picidae,Not endemic
White-breasted Waterhen,Amaurornis phoenicurus,Resident,Least Concern,Very Large,Low,Gruiformes,Rallidae,Not endemic
White-bellied Woodpecker,Dryocopus javensis,Resident,Least Concern,Moderate,Moderate,Piciformes,Picidae,Not endemic
White-bellied Treepie,Dendrocitta leucogastra,Resident,Least Concern,Moderate,Moderate,Passeriformes,Corvidae,Western Ghats
White-bellied Sholakili,Sholicola albiventris,Resident,Vulnerable,Restricted,High,Passeriformes,Muscicapidae,Western Ghats
White-bellied Sea-Eagle,Haliaeetus leucogaster,Resident,Least Concern,Moderate,Moderate,Accipitriformes,Accipitridae,Not endemic
